DB ID,Parasite Reported Name,Parasite Corrected Name,Host Reported Name,Host Corrected Name C&H,Host Corrected Name W&R05,Location,Latitude,Longitude,Resolution,Prevalence,Sample Size,Sample Basis,Host Sex,Host Age,Parasite Type,Close,Sexual,Vertical,Nonclose,Vector,Intermediate,Citation,Full Reference
1,Ixodes loricatus,Ixodes loricatus,Ateles sp.,Ateles sp.,Ateles sp.,MEXICO,23.0,-102.0,N,,,,,,Arthropod,0.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
2,Haemaphysalis sp.,Haemaphysalis sp.,Macaca radiata,Macaca radiata,Macaca radiata,Kyasanur,14.25,75.06,SL,,,,,,Arthropod,0.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
3,Haemaphysalis sp.,Haemaphysalis sp.,Presbytis entellus,Presbytis entellus,Semnopithecus entellus,Kyasanur,14.25,75.06,SL,,,,,,Arthropod,0.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
4,Sarcoptes sp.,Sarcoptes sp.,Mandrillus leucophaeus,Mandrillus leucophaeus,Mandrillus leucophaeus,GUINEA,11.0,-10.0,N,,,,,,Arthropod,1.0,0.0,0.0,1.0,0.0,0.0,Fiennes 1972,"Fiennes, R. 1972. in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates. Part II. Infectious and Parasitic Diseases. London, S. Karger."
5,Trypanosoma perodictici,Trypanosoma perodictici,Galago demidovii,Galagoides demidoff,Galago demidoff,LIBERIA,6.5,-9.5,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Baker 1972,"Baker, J. R. 1972. Protozoa of Tissues and Blood (Other than the Haemosporina), Pages 29- 56 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates Part II. London, S. Karger."
6,Trypanosoma perodictici,Trypanosoma perodictici,Perodicticus potto,Perodicticus potto,Perodicticus potto,CAMEROON,6.0,12.0,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Baker 1972,"Baker, J. R. 1972. Protozoa of Tissues and Blood (Other than the Haemosporina), Pages 29- 56 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates Part II. London, S. Karger."
7,Trypanosoma perodictici,Trypanosoma perodictici,Perodicticus potto,Perodicticus potto,Perodicticus potto,UGANDA,2.0,33.0,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Baker 1972,"Baker, J. R. 1972. Protozoa of Tissues and Blood (Other than the Haemosporina), Pages 29- 56 in R. Fiennes, and T. C. a. A. (assisted by Orihel, J. C.), eds. Pathology of Simian Primates Part II. London, S. Karger."
8,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Kampala,0.31,32.58,SL,0.29,85.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
9,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Awash,8.4,39.33,SL,0.03,114.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
10,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Kimana,-2.8,37.53,SL,0.44,74.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
11,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Naivasha,-0.71,36.43,SL,0.34,98.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
12,simian T-lymphotropic virus type 1 (STLV-1),Deltaretrovirus STLV 1,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Mosiro,-1.48,36.1,SL,0.51,54.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Dracopoli et al. 1986,"Dracopoli, N. C., T. R. Turner, J. G. Else, C. J. Jolly, R. Anthony, R. C. Gallo, and W. C. Saxinger. 1986. STLV- 1 Antibodies in Feral- Populations of East African Vervet Monkeys (Cercopithecus Aethiops). Int. J. Cancer 38:523- 529.  "
13,Entopolypoides macaci,Entopolypoides macaci,Macaca irus,Macaca fascicularis,Macaca fascicularis,Java,-7.5,110.0,P,1.0,2.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Fairbairn 1948,"Fairbairn, H. 1948. MISCELLANEA The Occurrence of a Piroplasm, Entopolypoides Macaci in East African Monkeys. Ann. Trop. Med. and Parasitol 42:118.  "
14,Brugia malayi,Brugia malayi,Presbytis cristatus,Presbytis cristata,Trachypithecus cristatus,Tanah Intan,-3.33,115.03,SL,,106.0,,,,Helminth,0.0,0.0,0.0,0.0,1.0,0.0,Masbar et al. 1981,"Masbar, S., J. R. Palmieri, H. A. Marwoto, and P. F. Darwis. 1981. Blood Parasites of Wild and Domestic Animals from South Kalimantan (Borneo), Indonesia. Southeast Asian J. Trop. Med. Pub. Hlth. 12:42- 46. "
15,measles,Morbilivirus Measles virus,Macaca radiata,Macaca radiata,Macaca radiata,Shimoga,13.9,75.1,,0.0,170.0,Samples,,,,,,,,,,Bhatt et al. 1966,"Bhatt, P. N., C. D. Brandt, R. A. Weiss, J. P. Fox, and M. F. Shaffer. 1966. Viral Infections of Monkeys in Their Natural Habitat in Southern India II Serological Evidence of Viral Infection. American Journal of Tropical Medicine and Hygiene 15:561- 566. "
16,measles,Morbilivirus Measles virus,Macaca mulatta,Macaca mulatta,Macaca mulatta,Lucknow,26.85,80.92,SL,0.25,,Samples,,,,,,,,,,Bhatt et al. 1966,"Bhatt, P. N., C. D. Brandt, R. A. Weiss, J. P. Fox, and M. F. Shaffer. 1966. Viral Infections of Monkeys in Their Natural Habitat in Southern India II Serological Evidence of Viral Infection. American Journal of Tropical Medicine and Hygiene 15:561- 566. "
17,Brugia pahangi,Brugia pahangi,Presbytis cristatus,Presbytis cristata,Trachypithecus cristatus,Tanah Intan,-3.33,115.03,SL,,106.0,,,,Helminth,0.0,0.0,0.0,0.0,1.0,0.0,Masbar et al. 1981,"Masbar, S., J. R. Palmieri, H. A. Marwoto, and P. F. Darwis. 1981. Blood Parasites of Wild and Domestic Animals from South Kalimantan (Borneo), Indonesia. Southeast Asian J. Trop. Med. Pub. Hlth. 12:42- 46. "
18,Wuchereria kalimantani,Wuchereria kalimantani,Presbytis cristatus,Presbytis cristata,Trachypithecus cristatus,Tanah Intan,-3.33,115.03,SL,,106.0,,,,Helminth,0.0,0.0,0.0,0.0,1.0,0.0,Masbar et al. 1981,"Masbar, S., J. R. Palmieri, H. A. Marwoto, and P. F. Darwis. 1981. Blood Parasites of Wild and Domestic Animals from South Kalimantan (Borneo), Indonesia. Southeast Asian J. Trop. Med. Pub. Hlth. 12:42- 46. "
19,Cardiofilaria sp.,Cardiofilaria sp.,Presbytis cristatus,Presbytis cristata,Trachypithecus cristatus,Tanah Intan,-3.33,115.03,SL,0.01,106.0,Animals,,,Helminth,0.0,0.0,0.0,0.0,1.0,0.0,Masbar et al. 1981,"Masbar, S., J. R. Palmieri, H. A. Marwoto, and P. F. Darwis. 1981. Blood Parasites of Wild and Domestic Animals from South Kalimantan (Borneo), Indonesia. Southeast Asian J. Trop. Med. Pub. Hlth. 12:42- 46. "
20,Dirofilaria sp.,Dirofilaria sp.,Presbytis cristatus,Presbytis cristata,Trachypithecus cristatus,Tanah Intan,-3.33,115.03,SL,0.01,106.0,Animals,,,Helminth,0.0,0.0,0.0,0.0,1.0,0.0,Masbar et al. 1981,"Masbar, S., J. R. Palmieri, H. A. Marwoto, and P. F. Darwis. 1981. Blood Parasites of Wild and Domestic Animals from South Kalimantan (Borneo), Indonesia. Southeast Asian J. Trop. Med. Pub. Hlth. 12:42- 46. "
21,Plasmodium coatneyi,Plasmodium coatneyi,Presbytis cristatus,Presbytis cristata,Trachypithecus cristatus,Tanah Intan,-3.33,115.03,SL,0.217,106.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Masbar et al. 1981,"Masbar, S., J. R. Palmieri, H. A. Marwoto, and P. F. Darwis. 1981. Blood Parasites of Wild and Domestic Animals from South Kalimantan (Borneo), Indonesia. Southeast Asian J. Trop. Med. Pub. Hlth. 12:42- 46. "
22,Plasmodium cynomolgi,Plasmodium cynomolgi,Macacus nemestrina,Macaca nemestrina,Macaca nemestrina,Port Dickson,2.51,101.8,SL,,47.0,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
23,Plasmodium hylobati,Plasmodium hylobati,Hylobates moloch,Hylobates moloch,Hylobates moloch,Borneo,0.0,0.0,P,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
24,Plasmodium inui,Plasmodium inui,Macaca nemestrina,Macaca nemestrina,Macaca nemestrina,Borneo,0.0,0.0,P,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
25,Plasmodium knowlesi,Plasmodium knowlesi,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,PHILIPPINES,13.0,122.0,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
26,measles,Morbilivirus Measles virus,Presbytis entellus,Presbytis entellus,Semnopithecus entellus,Shimoga,13.9,75.1,,0.0,195.0,Samples,,,,,,,,,,Bhatt et al. 1966,"Bhatt, P. N., C. D. Brandt, R. A. Weiss, J. P. Fox, and M. F. Shaffer. 1966. Viral Infections of Monkeys in Their Natural Habitat in Southern India II Serological Evidence of Viral Infection. American Journal of Tropical Medicine and Hygiene 15:561- 566. "
27,Plasmodium reichenowi,Plasmodium reichenowi,chimpanzee,Pan troglodytes,Pan troglodytes,UNKNOWN,,,O,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
28,Plasmodium reichenowi,Plasmodium reichenowi,chimpanzee,Pan troglodytes,Pan troglodytes,LIBERIA,6.5,-9.5,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
29,Plasmodium schwetzi,Plasmodium schwetzi,chimpanzee,Pan troglodytes,Pan troglodytes,DEM REP CONGO,0.0,25.0,N,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
30,Plasmodium simium,Plasmodium simium,Alouatta fusca,Alouatta fusca,Alouatta guariba,Rio Grande Do Sul,-30.0,-54.0,P,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
31,Plasmodium simium,Plasmodium simium,Alouatta fusca,Alouatta fusca,Alouatta guariba,Santa Catarina,-27.0,-50.0,P,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
32,Plasmodium simium,Plasmodium simium,Alouatta fusca,Alouatta fusca,Alouatta guariba,Sao Paulo,-22.0,-49.0,P,,,,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Coatney et al 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.  "
33,Probstmayria sp.,Probstmayria sp.,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.09,74.0,Animals,,,Helminth,1.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
34,Strongyloides sp.,Strongyloides sp.,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.014,74.0,Animals,,,Helminth,0.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
35,Trichuris trichiura,Trichuris trichiura,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.027,74.0,Animals,,,Helminth,0.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
36,Reovirus,Reovirus sp.,Macaca mulatta,Macaca mulatta,Macaca mulatta,Lucknow,26.85,80.92,SL,0.32,47.0,Samples,,,Virus,1.0,0.0,0.0,0.0,0.0,0.0,Bhatt et al. 1966,"Bhatt, P. N., C. D. Brandt, R. A. Weiss, J. P. Fox, and M. F. Shaffer. 1966. Viral Infections of Monkeys in Their Natural Habitat in Southern India II Serological Evidence of Viral Infection. American Journal of Tropical Medicine and Hygiene 15:561- 566. "
37,Anoplocephala gorillae,Anoplocephala gorillae,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.851,74.0,Animals,,,Helminth,0.0,0.0,0.0,0.0,0.0,1.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
38,Giardia sp.,Giardia sp.,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.03,70.0,Animals,,,Protozoa,0.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
39,Chilomastix sp.,Chilomastix sp.,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.44,70.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
40,Entamoeba coli,Entamoeba coli,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.2,70.0,Animals,,,Protozoa,1.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
41,Entamoeba hartmanni,Entamoeba hartmanni,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.27,70.0,Animals,,,Protozoa,1.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
42,Entamoeba histolytica,Entamoeba histolytica,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.01,70.0,Animals,,,Protozoa,1.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
43,Endolimax nana,Endolimax nana,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.44,70.0,Animals,,,Protozoa,1.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
44,Iodamoeba buetschlii,Iodamoeba butschlii,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.16,70.0,Animals,,,Protozoa,1.0,0.0,0.0,1.0,0.0,0.0,Sleeman et al. 2000,"Sleeman, J. M., L. L. Meader, A. B. Mudakikwa, J. W. Foster, and S. Patton. 2000. Gastrointestinal parasites of mountain gorillas (Gorilla gorilla beringei) in the Parc National des Volcans, Rwanda. Journal of Zoo and Wildlife Medicine 31:322-328."
45,Alphaherpesvirus,Simplexvirus Herpes simplex virus 1,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Parc Natl Volcans,-1.5,29.5,SL,0.58,7.0,Animals,,,Virus,1.0,1.0,1.0,0.0,0.0,0.0,Eberle 1992,"Eberle, R. 1992. Evidence for an Alpha-Herpesvirus Indigenous to Mountain Gorillas. Journal of Medical Primatology 21:246-251."
46,Cryptosporidium sp.,Cryptosporidium sp.,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Bwindi,-1.05,29.7,SL,0.11,,Samples,,,Protozoa,1.0,0.0,0.0,1.0,0.0,0.0,Nizeyi et al. 1999,"Nizeyi, J. B., R. Mwebe, A. Nanteza, M. R. Cranfield, G. R. N. N. Kalema, and T. K. Graczyk. 1999. Cryptosporidium sp and Giardia sp infections in mountain gorillas (Gorilla gorilla beringei) of the Bwindi Impenetrable National Park, Uganda. Journal of Parasitology 85:1084-1088."
47,Giardia sp.,Giardia sp.,Gorilla gorilla beringei,Gorilla gorilla,Gorilla beringei,Bwindi,-1.05,29.7,SL,0.02,,Samples,,,Protozoa,0.0,0.0,0.0,1.0,0.0,0.0,Nizeyi et al. 1999,"Nizeyi, J. B., R. Mwebe, A. Nanteza, M. R. Cranfield, G. R. N. N. Kalema, and T. K. Graczyk. 1999. Cryptosporidium sp and Giardia sp infections in mountain gorillas (Gorilla gorilla beringei) of the Bwindi Impenetrable National Park, Uganda. Journal of Parasitology 85:1084-1088."
48,Hepatitis A virus,Hepatovirus Hepatitis A,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis,Batang Berjuntai,3.38,101.41,SL,0.11,52.0,Animals,,,Virus,1.0,0.0,0.0,1.0,0.0,0.0,Burke and Heisey 1984,"Burke, D. S., and G. B. Heisey. 1984. Wild Malaysian Cynomolgus Monkeys Are Exposed to Hepatitis-a Virus. American Journal of Tropical Medicine and Hygiene 33:940-944. "
49,Hepatitis A virus,Hepatovirus Hepatitis A,Cercopithecus aethiops,Cercopithecus aethiops,Chlorocebus aethiops,Toubakouta,13.76,-16.46,SL,,,,,,Virus,1.0,0.0,0.0,1.0,0.0,0.0,Coursaget et al. 1981,"Coursaget, P., B. Levesque, E. Gretillat, M. Eyraud, L. Ferrara, and M. Germain. 1981. Hepatitus A Virus in Primates Outside Captivity. Lancet:929. "
50,Hepatitis A virus,Hepatovirus Hepatitis A,Patas erythrocebus,Erythrocebus patas,Erythrocebus patas,Toubakouta,13.76,-16.46,SL,,,,,,Virus,1.0,0.0,0.0,1.0,0.0,0.0,Coursaget et al. 1981,"Coursaget, P., B. Levesque, E. Gretillat, M. Eyraud, L. Ferrara, and M. Germain. 1981. Hepatitus A Virus in Primates Outside Captivity. Lancet:929. "
51,Hepatitis A virus,Hepatovirus Hepatitis A,Papio papio,Papio papio,Papio papio,Toubakouta,13.76,-16.46,SL,,,,,,Virus,1.0,0.0,0.0,1.0,0.0,0.0,Coursaget et al. 1981,"Coursaget, P., B. Levesque, E. Gretillat, M. Eyraud, L. Ferrara, and M. Germain. 1981. Hepatitus A Virus in Primates Outside Captivity. Lancet:929. "
52,Trypanosoma conorhini,Trypanosoma conorrhini,Macaca cyclopis,Macaca cyclopis,Macaca cyclopis,Nantou,23.83,121.0,P,0.07,13.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Cross et al 1983,"Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542. "
53,Trypanosoma conorhini,Trypanosoma conorrhini,Macaca cyclopis,Macaca cyclopis,Macaca cyclopis,Kaosiung,23.0,120.58,P,0.06,75.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Cross et al 1983,"Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542. "
54,Trypanosoma conorhini,Trypanosoma conorrhini,Macaca cyclopis,Macaca cyclopis,Macaca cyclopis,Pingtung,22.5,120.67,P,0.054,331.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Cross et al 1983,"Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542. "
55,Trypanosoma conorhini,Trypanosoma conorrhini,Macaca cyclopis,Macaca cyclopis,Macaca cyclopis,Taipei,24.83,121.58,P,0.22,18.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Cross et al 1983,"Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542. "
56,Plasmodium brasilianum,Plasmodium brasilianum,Cebus apella,Cebus apella,Cebus apella,Amazonas,-3.42,-65.86,P,0.19,36.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Deane et al. 1969,"Deane, L. M., J. A. Ferreira Neto, M. Okumura, and M. O. Ferreira. 1969. Rev. Inst. Med. Trop. Sao Paulo 11:71- 86. "
57,Trypanosoma conorhini,Trypanosoma conorrhini,Macaca cyclopis,Macaca cyclopis,Macaca cyclopis,Itan,24.5,122.0,P,0.14,7.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Cross et al 1983,"Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542. "
58,Trypanosoma conorhini,Trypanosoma conorrhini,Macaca cyclopis,Macaca cyclopis,Macaca cyclopis,Hualien,23.75,121.42,P,0.4,15.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Cross et al 1983,"Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542. "
59,Trypanosoma conorhini,Trypanosoma conorrhini,Macaca cyclopis,Macaca cyclopis,Macaca cyclopis,Taitong,23.97,121.43,P,0.13,135.0,Animals,,,Protozoa,0.0,0.0,0.0,0.0,1.0,0.0,Cross et al 1983,"Cross, J. H., M. Y. K. Hsu, and C. K. Hung. 1983. Studies on Trypanosomes in the Taiwan Monkey. Southeast Asian J. Trop. Med. Pub. Hlth. 14:536- 542. "
60,Kyasanur Forest Disease,Flavivirus Tick-borne encephalitis virus,Macaca radiata,Macaca radiata,Macaca radiata,UNKNOWN,,,O,,,,,,,,,,,,,Seymour and Yuill 1981,"Seymour, C., and T. M. Yuill. 1981. Arboviruses, Pages 54- 86 in Davis, Karstad, and Trainer, eds. Infectious diseases of wild mammals. Ames, Iowa, Iowa state university press. "
61,Kyasanur Forest Disease,Flavivirus Tick-borne encephalitis virus,Presbytis entellus,Presbytis entellus,Semnopithecus entellus,UNKNOWN,,,O,,,,,,,,,,,,,Seymour and Yuill 1981,"Seymour, C., and T. M. Yuill. 1981. Arboviruses, Pages 54- 86 in Davis, Karstad, and Trainer, eds. Infectious diseases of wild mammals. Ames, Iowa, Iowa state university press. "
